Item Purchased,Category,Color,Location,Size,Gender,Shipping Type,Payment Method,Discount Applied,Subscription Status,Season,Frequency of Purchases,Previous Purchases,Purchase Amount (USD),Age,Category_Item_Color,Category_Item_Size,Category_Item_Location,Prob Alta (%),Classe Prevista,Risco de Review
Jacket,Clothing,White,New York,M,Female,Express,Credit Card,0,0,Fall,Monthly,2,239.25,26,Clothing_Jacket_White,Clothing_Jacket_M,Clothing_Jacket_New York,66.32,Alta,Moderada
Shoes,Clothing,Red,Texas,L,Female,Express,Debit Card,1,0,Fall,Monthly,5,326.84,23,Clothing_Shoes_Red,Clothing_Shoes_L,Clothing_Shoes_Texas,74.05,Alta,Alta probabilidade
Dress,Accessories,Green,Texas,L,Male,Standard,Credit Card,1,0,Winter,Occasionally,7,416.72,35,Accessories_Dress_Green,Accessories_Dress_L,Accessories_Dress_Texas,87.44,Alta,Alta probabilidade
T-shirt,Accessories,Green,Florida,XL,Female,Standard,PayPal,1,1,Winter,Monthly,8,34.14,31,Accessories_T-shirt_Green,Accessories_T-shirt_XL,Accessories_T-shirt_Florida,57.21,Alta,Moderada
T-shirt,Clothing,Green,New York,XL,Female,Express,PayPal,0,0,Winter,Occasionally,6,427.7,36,Clothing_T-shirt_Green,Clothing_T-shirt_XL,Clothing_T-shirt_New York,91.12,Alta,Alta probabilidade
Shoes,Clothing,Black,Florida,L,Female,Express,Credit Card,0,1,Spring,Occasionally,2,278.72,31,Clothing_Shoes_Black,Clothing_Shoes_L,Clothing_Shoes_Florida,77.57,Alta,Alta probabilidade
Jacket,Clothing,White,New York,L,Male,Standard,Credit Card,0,1,Spring,Weekly,0,106.68,57,Clothing_Jacket_White,Clothing_Jacket_L,Clothing_Jacket_New York,66.37,Alta,Moderada
Jacket,Accessories,Yellow,Nevada,M,Male,Standard,Debit Card,1,1,Winter,Monthly,3,165.46,34,Accessories_Jacket_Yellow,Accessories_Jacket_M,Accessories_Jacket_Nevada,71.53,Alta,Alta probabilidade
Dress,Accessories,Yellow,California,S,Female,Standard,Credit Card,1,1,Spring,Monthly,5,148.15,52,Accessories_Dress_Yellow,Accessories_Dress_S,Accessories_Dress_California,79.07,Alta,Alta probabilidade
Shoes,Footwear,Black,Nevada,XL,Male,Standard,Credit Card,1,1,Spring,Monthly,2,270.12,46,Footwear_Shoes_Black,Footwear_Shoes_XL,Footwear_Shoes_Nevada,90.83,Alta,Alta probabilidade
T-shirt,Footwear,Red,New York,L,Male,Standard,Credit Card,1,0,Fall,Weekly,0,35.33,59,Footwear_T-shirt_Red,Footwear_T-shirt_L,Footwear_T-shirt_New York,53.48,Alta,Moderada
Jacket,Clothing,Black,California,XL,Male,Express,Debit Card,1,1,Fall,Weekly,5,87.68,34,Clothing_Jacket_Black,Clothing_Jacket_XL,Clothing_Jacket_California,67.64,Alta,Moderada
Shoes,Outerwear,Red,Texas,XL,Female,Standard,Credit Card,0,0,Winter,Weekly,0,408.22,60,Outerwear_Shoes_Red,Outerwear_Shoes_XL,Outerwear_Shoes_Texas,90.99,Alta,Alta probabilidade
Jacket,Outerwear,Red,Texas,L,Female,Express,PayPal,1,0,Spring,Monthly,8,74.98,25,Outerwear_Jacket_Red,Outerwear_Jacket_L,Outerwear_Jacket_Texas,62.49,Alta,Moderada
Jacket,Accessories,Blue,Florida,M,Male,Express,Debit Card,1,0,Fall,Monthly,0,124.36,18,Accessories_Jacket_Blue,Accessories_Jacket_M,Accessories_Jacket_Florida,48.6,Não-Alta,Baixa
T-shirt,Accessories,Yellow,New York,XL,Male,Standard,Debit Card,1,0,Summer,Monthly,5,232.15,62,Accessories_T-shirt_Yellow,Accessories_T-shirt_XL,Accessories_T-shirt_New York,84.63,Alta,Alta probabilidade
Jeans,Accessories,Green,New York,M,Male,Standard,PayPal,0,0,Spring,Weekly,0,263.39,53,Accessories_Jeans_Green,Accessories_Jeans_M,Accessories_Jeans_New York,61.58,Alta,Moderada
Dress,Clothing,Red,Texas,L,Female,Express,PayPal,1,0,Summer,Weekly,6,384.17,24,Clothing_Dress_Red,Clothing_Dress_L,Clothing_Dress_Texas,87.98,Alta,Alta probabilidade
Dress,Outerwear,Blue,Nevada,S,Female,Standard,PayPal,0,0,Winter,Occasionally,2,229.19,63,Outerwear_Dress_Blue,Outerwear_Dress_S,Outerwear_Dress_Nevada,63.11,Alta,Moderada
T-shirt,Footwear,Yellow,California,S,Male,Express,Credit Card,0,1,Spring,Weekly,5,397.03,22,Footwear_T-shirt_Yellow,Footwear_T-shirt_S,Footwear_T-shirt_California,94.84,Alta,Alta probabilidade
Jacket,Clothing,Green,Nevada,XL,Male,Standard,PayPal,0,0,Winter,Occasionally,6,312.99,41,Clothing_Jacket_Green,Clothing_Jacket_XL,Clothing_Jacket_Nevada,75.17,Alta,Alta probabilidade
Shoes,Footwear,Red,Nevada,L,Male,Standard,Credit Card,0,1,Winter,Monthly,0,65.42,45,Footwear_Shoes_Red,Footwear_Shoes_L,Footwear_Shoes_Nevada,56.78,Alta,Moderada
Jacket,Footwear,Red,Texas,M,Male,Standard,Debit Card,0,0,Winter,Weekly,0,86.6,60,Footwear_Jacket_Red,Footwear_Jacket_M,Footwear_Jacket_Texas,64.33,Alta,Moderada
T-shirt,Clothing,Black,Texas,XL,Female,Express,Debit Card,1,0,Winter,Monthly,4,224.15,34,Clothing_T-shirt_Black,Clothing_T-shirt_XL,Clothing_T-shirt_Texas,90.17,Alta,Alta probabilidade
Dress,Footwear,Black,Texas,L,Male,Standard,PayPal,1,0,Winter,Monthly,5,204.48,54,Footwear_Dress_Black,Footwear_Dress_L,Footwear_Dress_Texas,80.66,Alta,Alta probabilidade
Jacket,Outerwear,Yellow,Florida,L,Female,Express,Credit Card,0,0,Spring,Monthly,8,374.34,37,Outerwear_Jacket_Yellow,Outerwear_Jacket_L,Outerwear_Jacket_Florida,92.0,Alta,Alta probabilidade
Dress,Footwear,Green,Nevada,M,Male,Standard,PayPal,0,1,Summer,Monthly,0,294.56,20,Footwear_Dress_Green,Footwear_Dress_M,Footwear_Dress_Nevada,71.67,Alta,Alta probabilidade
Shoes,Outerwear,Red,New York,XL,Male,Express,PayPal,0,1,Spring,Weekly,3,200.19,54,Outerwear_Shoes_Red,Outerwear_Shoes_XL,Outerwear_Shoes_New York,71.82,Alta,Alta probabilidade
Dress,Outerwear,Yellow,California,L,Male,Standard,Credit Card,1,1,Spring,Monthly,9,93.67,43,Outerwear_Dress_Yellow,Outerwear_Dress_L,Outerwear_Dress_California,75.84,Alta,Alta probabilidade
Dress,Outerwear,Yellow,Florida,L,Male,Express,PayPal,1,0,Spring,Occasionally,7,121.15,32,Outerwear_Dress_Yellow,Outerwear_Dress_L,Outerwear_Dress_Florida,65.52,Alta,Moderada
Jeans,Accessories,White,New York,L,Male,Express,Debit Card,0,0,Fall,Weekly,9,292.0,68,Accessories_Jeans_White,Accessories_Jeans_L,Accessories_Jeans_New York,65.43,Alta,Moderada
Jeans,Footwear,Black,Nevada,M,Female,Express,PayPal,1,0,Fall,Monthly,8,217.49,65,Footwear_Jeans_Black,Footwear_Jeans_M,Footwear_Jeans_Nevada,52.12,Alta,Moderada
Jeans,Clothing,Green,Texas,XL,Male,Express,Credit Card,1,1,Spring,Weekly,2,262.31,25,Clothing_Jeans_Green,Clothing_Jeans_XL,Clothing_Jeans_Texas,86.34,Alta,Alta probabilidade
Dress,Clothing,Red,Nevada,XL,Male,Express,Credit Card,0,0,Summer,Occasionally,1,93.63,30,Clothing_Dress_Red,Clothing_Dress_XL,Clothing_Dress_Nevada,74.12,Alta,Alta probabilidade
T-shirt,Footwear,Yellow,California,XL,Male,Express,Debit Card,0,1,Spring,Monthly,3,334.82,65,Footwear_T-shirt_Yellow,Footwear_T-shirt_XL,Footwear_T-shirt_California,93.08,Alta,Alta probabilidade
Dress,Accessories,Red,Florida,XL,Female,Standard,Credit Card,1,1,Winter,Occasionally,1,427.74,20,Accessories_Dress_Red,Accessories_Dress_XL,Accessories_Dress_Florida,89.36,Alta,Alta probabilidade
T-shirt,Accessories,White,Florida,S,Female,Express,Credit Card,1,0,Fall,Monthly,0,136.39,18,Accessories_T-shirt_White,Accessories_T-shirt_S,Accessories_T-shirt_Florida,65.27,Alta,Moderada
T-shirt,Outerwear,Green,California,S,Female,Express,Debit Card,1,0,Fall,Occasionally,2,250.84,26,Outerwear_T-shirt_Green,Outerwear_T-shirt_S,Outerwear_T-shirt_California,68.71,Alta,Moderada
Jeans,Footwear,Yellow,New York,XL,Female,Express,PayPal,0,1,Spring,Monthly,6,488.01,48,Footwear_Jeans_Yellow,Footwear_Jeans_XL,Footwear_Jeans_New York,93.19,Alta,Alta probabilidade
Jacket,Footwear,Red,New York,M,Male,Standard,Debit Card,0,1,Spring,Weekly,0,173.29,58,Footwear_Jacket_Red,Footwear_Jacket_M,Footwear_Jacket_New York,68.7,Alta,Moderada
Shoes,Clothing,Black,Florida,S,Male,Standard,PayPal,0,1,Summer,Monthly,1,301.57,43,Clothing_Shoes_Black,Clothing_Shoes_S,Clothing_Shoes_Florida,79.25,Alta,Alta probabilidade
Jeans,Footwear,White,Florida,L,Male,Standard,Debit Card,1,0,Summer,Weekly,0,54.2,34,Footwear_Jeans_White,Footwear_Jeans_L,Footwear_Jeans_Florida,45.82,Não-Alta,Baixa
Jeans,Accessories,Green,Texas,S,Female,Express,PayPal,1,0,Winter,Monthly,7,306.95,51,Accessories_Jeans_Green,Accessories_Jeans_S,Accessories_Jeans_Texas,68.83,Alta,Moderada
Jacket,Footwear,White,New York,L,Male,Standard,Debit Card,0,0,Spring,Monthly,4,53.92,26,Footwear_Jacket_White,Footwear_Jacket_L,Footwear_Jacket_New York,64.21,Alta,Moderada
Shoes,Clothing,Black,California,XL,Male,Standard,PayPal,1,0,Spring,Occasionally,7,480.03,68,Clothing_Shoes_Black,Clothing_Shoes_XL,Clothing_Shoes_California,90.82,Alta,Alta probabilidade
Dress,Outerwear,Green,New York,S,Female,Express,Debit Card,0,0,Spring,Occasionally,2,360.67,30,Outerwear_Dress_Green,Outerwear_Dress_S,Outerwear_Dress_New York,78.0,Alta,Alta probabilidade
Dress,Clothing,White,Texas,M,Female,Express,PayPal,1,0,Fall,Occasionally,6,396.2,22,Clothing_Dress_White,Clothing_Dress_M,Clothing_Dress_Texas,65.37,Alta,Moderada
Jeans,Clothing,Blue,Florida,S,Female,Standard,Debit Card,0,1,Winter,Monthly,7,355.01,58,Clothing_Jeans_Blue,Clothing_Jeans_S,Clothing_Jeans_Florida,21.37,Não-Alta,Baixa
Shoes,Outerwear,Black,Florida,S,Male,Express,Credit Card,1,1,Summer,Monthly,5,298.97,30,Outerwear_Shoes_Black,Outerwear_Shoes_S,Outerwear_Shoes_Florida,80.03,Alta,Alta probabilidade
Jeans,Clothing,Black,Texas,S,Male,Express,PayPal,1,1,Fall,Monthly,6,230.46,18,Clothing_Jeans_Black,Clothing_Jeans_S,Clothing_Jeans_Texas,73.37,Alta,Alta probabilidade
T-shirt,Clothing,Black,California,XL,Female,Express,Debit Card,0,0,Fall,Weekly,1,430.6,42,Clothing_T-shirt_Black,Clothing_T-shirt_XL,Clothing_T-shirt_California,91.88,Alta,Alta probabilidade
Jeans,Footwear,Blue,Florida,M,Male,Express,PayPal,0,1,Fall,Weekly,7,478.85,64,Footwear_Jeans_Blue,Footwear_Jeans_M,Footwear_Jeans_Florida,77.97,Alta,Alta probabilidade
Jeans,Footwear,Blue,Nevada,S,Female,Standard,PayPal,0,0,Fall,Monthly,4,254.53,21,Footwear_Jeans_Blue,Footwear_Jeans_S,Footwear_Jeans_Nevada,64.53,Alta,Moderada
Dress,Outerwear,Red,Florida,M,Female,Express,Debit Card,0,0,Winter,Occasionally,6,466.45,53,Outerwear_Dress_Red,Outerwear_Dress_M,Outerwear_Dress_Florida,79.85,Alta,Alta probabilidade
Dress,Footwear,Yellow,Nevada,XL,Male,Standard,PayPal,0,1,Spring,Occasionally,0,295.83,69,Footwear_Dress_Yellow,Footwear_Dress_XL,Footwear_Dress_Nevada,88.56,Alta,Alta probabilidade
Dress,Footwear,White,Texas,L,Female,Standard,Debit Card,1,0,Summer,Occasionally,4,273.81,27,Footwear_Dress_White,Footwear_Dress_L,Footwear_Dress_Texas,81.49,Alta,Alta probabilidade
T-shirt,Clothing,Red,Texas,S,Female,Standard,Credit Card,0,1,Summer,Monthly,0,232.7,45,Clothing_T-shirt_Red,Clothing_T-shirt_S,Clothing_T-shirt_Texas,88.52,Alta,Alta probabilidade
Dress,Accessories,White,Florida,M,Female,Standard,PayPal,0,1,Fall,Occasionally,7,112.55,23,Accessories_Dress_White,Accessories_Dress_M,Accessories_Dress_Florida,57.34,Alta,Moderada
Shoes,Footwear,Yellow,New York,M,Male,Express,Credit Card,0,0,Fall,Monthly,3,11.82,44,Footwear_Shoes_Yellow,Footwear_Shoes_M,Footwear_Shoes_New York,59.76,Alta,Moderada
Jacket,Accessories,Blue,Nevada,XL,Female,Express,PayPal,0,1,Winter,Weekly,3,128.34,29,Accessories_Jacket_Blue,Accessories_Jacket_XL,Accessories_Jacket_Nevada,62.97,Alta,Moderada
Shoes,Footwear,Yellow,California,S,Female,Express,PayPal,0,1,Fall,Occasionally,1,259.76,69,Footwear_Shoes_Yellow,Footwear_Shoes_S,Footwear_Shoes_California,80.32,Alta,Alta probabilidade
Shoes,Footwear,Blue,Florida,L,Female,Standard,PayPal,1,1,Summer,Weekly,4,196.18,65,Footwear_Shoes_Blue,Footwear_Shoes_L,Footwear_Shoes_Florida,46.77,Não-Alta,Baixa
Dress,Outerwear,Yellow,California,M,Female,Standard,Debit Card,0,1,Summer,Occasionally,0,229.76,20,Outerwear_Dress_Yellow,Outerwear_Dress_M,Outerwear_Dress_California,80.8,Alta,Alta probabilidade
Jacket,Outerwear,Red,Florida,S,Female,Standard,Credit Card,0,0,Spring,Monthly,8,490.52,63,Outerwear_Jacket_Red,Outerwear_Jacket_S,Outerwear_Jacket_Florida,93.03,Alta,Alta probabilidade
Jacket,Outerwear,Green,New York,L,Female,Express,PayPal,0,1,Spring,Monthly,4,181.63,50,Outerwear_Jacket_Green,Outerwear_Jacket_L,Outerwear_Jacket_New York,82.18,Alta,Alta probabilidade
Jacket,Accessories,Red,New York,M,Female,Standard,Debit Card,1,1,Summer,Monthly,5,231.57,27,Accessories_Jacket_Red,Accessories_Jacket_M,Accessories_Jacket_New York,66.51,Alta,Moderada
T-shirt,Clothing,White,New York,M,Male,Express,PayPal,1,1,Summer,Monthly,1,75.42,48,Clothing_T-shirt_White,Clothing_T-shirt_M,Clothing_T-shirt_New York,55.42,Alta,Moderada
Dress,Footwear,Red,New York,L,Male,Express,Debit Card,0,0,Winter,Occasionally,9,33.5,32,Footwear_Dress_Red,Footwear_Dress_L,Footwear_Dress_New York,46.73,Não-Alta,Baixa
Jacket,Footwear,Black,Texas,L,Female,Express,PayPal,0,1,Winter,Weekly,9,389.95,24,Footwear_Jacket_Black,Footwear_Jacket_L,Footwear_Jacket_Texas,91.98,Alta,Alta probabilidade
T-shirt,Footwear,White,Texas,XL,Male,Express,Credit Card,1,0,Summer,Monthly,0,289.63,53,Footwear_T-shirt_White,Footwear_T-shirt_XL,Footwear_T-shirt_Texas,88.82,Alta,Alta probabilidade
Jeans,Accessories,Yellow,Nevada,S,Male,Standard,Credit Card,1,1,Fall,Occasionally,3,382.75,31,Accessories_Jeans_Yellow,Accessories_Jeans_S,Accessories_Jeans_Nevada,85.68,Alta,Alta probabilidade
Jeans,Outerwear,White,California,S,Female,Express,PayPal,1,1,Spring,Weekly,6,83.43,65,Outerwear_Jeans_White,Outerwear_Jeans_S,Outerwear_Jeans_California,49.43,Não-Alta,Baixa
T-shirt,Clothing,Green,Florida,XL,Male,Standard,Debit Card,0,1,Summer,Monthly,5,290.2,31,Clothing_T-shirt_Green,Clothing_T-shirt_XL,Clothing_T-shirt_Florida,88.66,Alta,Alta probabilidade
T-shirt,Accessories,Blue,Florida,M,Female,Express,PayPal,0,0,Fall,Weekly,9,134.28,20,Accessories_T-shirt_Blue,Accessories_T-shirt_M,Accessories_T-shirt_Florida,54.16,Alta,Moderada
Dress,Outerwear,Yellow,Texas,L,Female,Standard,Debit Card,1,0,Summer,Monthly,0,121.75,66,Outerwear_Dress_Yellow,Outerwear_Dress_L,Outerwear_Dress_Texas,73.35,Alta,Alta probabilidade
Dress,Accessories,White,Florida,L,Female,Standard,PayPal,0,0,Spring,Weekly,0,15.65,63,Accessories_Dress_White,Accessories_Dress_L,Accessories_Dress_Florida,48.69,Não-Alta,Baixa
Jeans,Clothing,Yellow,Texas,L,Female,Express,Debit Card,1,0,Spring,Weekly,7,73.87,67,Clothing_Jeans_Yellow,Clothing_Jeans_L,Clothing_Jeans_Texas,75.06,Alta,Alta probabilidade
Jacket,Outerwear,Yellow,Nevada,M,Female,Express,Credit Card,1,0,Winter,Monthly,3,161.54,20,Outerwear_Jacket_Yellow,Outerwear_Jacket_M,Outerwear_Jacket_Nevada,61.59,Alta,Moderada
Jeans,Accessories,Yellow,California,L,Male,Express,PayPal,1,0,Winter,Occasionally,4,67.27,39,Accessories_Jeans_Yellow,Accessories_Jeans_L,Accessories_Jeans_California,52.09,Alta,Moderada
Jacket,Clothing,Blue,Nevada,L,Female,Standard,Credit Card,0,1,Winter,Weekly,6,493.07,36,Clothing_Jacket_Blue,Clothing_Jacket_L,Clothing_Jacket_Nevada,87.56,Alta,Alta probabilidade
Jacket,Footwear,Red,New York,XL,Male,Express,Credit Card,1,0,Winter,Monthly,7,161.23,52,Footwear_Jacket_Red,Footwear_Jacket_XL,Footwear_Jacket_New York,68.43,Alta,Moderada
Dress,Clothing,Yellow,New York,M,Female,Express,PayPal,1,1,Spring,Weekly,9,73.86,29,Clothing_Dress_Yellow,Clothing_Dress_M,Clothing_Dress_New York,74.57,Alta,Alta probabilidade
Shoes,Footwear,Black,New York,S,Female,Standard,PayPal,0,0,Fall,Weekly,6,107.55,22,Footwear_Shoes_Black,Footwear_Shoes_S,Footwear_Shoes_New York,47.65,Não-Alta,Baixa
Shoes,Accessories,Green,Nevada,XL,Female,Express,Debit Card,1,0,Fall,Occasionally,1,297.97,27,Accessories_Shoes_Green,Accessories_Shoes_XL,Accessories_Shoes_Nevada,65.62,Alta,Moderada
T-shirt,Outerwear,Blue,Florida,XL,Male,Standard,Debit Card,0,0,Fall,Weekly,3,41.38,58,Outerwear_T-shirt_Blue,Outerwear_T-shirt_XL,Outerwear_T-shirt_Florida,60.62,Alta,Moderada
Dress,Outerwear,White,California,S,Female,Express,Credit Card,1,1,Summer,Weekly,9,432.59,50,Outerwear_Dress_White,Outerwear_Dress_S,Outerwear_Dress_California,86.4,Alta,Alta probabilidade
Jacket,Accessories,Blue,New York,XL,Female,Standard,Debit Card,0,0,Winter,Monthly,0,481.13,30,Accessories_Jacket_Blue,Accessories_Jacket_XL,Accessories_Jacket_New York,91.26,Alta,Alta probabilidade
Shoes,Outerwear,White,New York,M,Female,Standard,Debit Card,1,0,Winter,Monthly,9,130.91,52,Outerwear_Shoes_White,Outerwear_Shoes_M,Outerwear_Shoes_New York,51.48,Alta,Moderada
Jacket,Outerwear,Blue,New York,L,Female,Express,PayPal,1,1,Spring,Occasionally,8,230.55,68,Outerwear_Jacket_Blue,Outerwear_Jacket_L,Outerwear_Jacket_New York,74.1,Alta,Alta probabilidade
Shoes,Footwear,White,California,M,Male,Standard,Debit Card,1,1,Spring,Weekly,2,20.85,49,Footwear_Shoes_White,Footwear_Shoes_M,Footwear_Shoes_California,52.75,Alta,Moderada
Shoes,Accessories,Yellow,New York,S,Female,Express,Credit Card,1,1,Summer,Weekly,2,323.95,28,Accessories_Shoes_Yellow,Accessories_Shoes_S,Accessories_Shoes_New York,83.24,Alta,Alta probabilidade
Shoes,Clothing,Red,California,S,Male,Express,Debit Card,1,1,Summer,Weekly,9,212.82,65,Clothing_Shoes_Red,Clothing_Shoes_S,Clothing_Shoes_California,56.94,Alta,Moderada
Dress,Footwear,White,New York,XL,Female,Standard,Credit Card,0,0,Fall,Occasionally,8,142.33,55,Footwear_Dress_White,Footwear_Dress_XL,Footwear_Dress_New York,71.9,Alta,Alta probabilidade
Jeans,Accessories,White,Nevada,M,Male,Express,PayPal,0,1,Spring,Weekly,9,111.35,41,Accessories_Jeans_White,Accessories_Jeans_M,Accessories_Jeans_Nevada,48.8,Não-Alta,Baixa
Jacket,Footwear,Black,Nevada,M,Male,Standard,Credit Card,1,0,Winter,Monthly,2,330.47,52,Footwear_Jacket_Black,Footwear_Jacket_M,Footwear_Jacket_Nevada,81.62,Alta,Alta probabilidade
Dress,Clothing,White,California,S,Female,Standard,Debit Card,1,0,Fall,Occasionally,7,213.95,36,Clothing_Dress_White,Clothing_Dress_S,Clothing_Dress_California,43.49,Não-Alta,Baixa
Dress,Clothing,Black,Nevada,M,Female,Standard,PayPal,1,1,Winter,Monthly,1,98.03,23,Clothing_Dress_Black,Clothing_Dress_M,Clothing_Dress_Nevada,75.1,Alta,Alta probabilidade
Dress,Accessories,Green,California,S,Male,Standard,Debit Card,0,0,Fall,Monthly,2,347.66,57,Accessories_Dress_Green,Accessories_Dress_S,Accessories_Dress_California,78.47,Alta,Alta probabilidade
Dress,Clothing,Yellow,Nevada,M,Female,Standard,PayPal,0,1,Winter,Occasionally,1,286.89,62,Clothing_Dress_Yellow,Clothing_Dress_M,Clothing_Dress_Nevada,75.68,Alta,Alta probabilidade
Dress,Footwear,Black,Nevada,M,Female,Standard,PayPal,1,0,Summer,Monthly,0,430.75,61,Footwear_Dress_Black,Footwear_Dress_M,Footwear_Dress_Nevada,82.31,Alta,Alta probabilidade
T-shirt,Clothing,Red,California,M,Female,Standard,Debit Card,0,1,Fall,Weekly,1,67.56,59,Clothing_T-shirt_Red,Clothing_T-shirt_M,Clothing_T-shirt_California,43.63,Não-Alta,Baixa
Jacket,Footwear,Yellow,Florida,S,Male,Standard,Debit Card,1,1,Winter,Occasionally,7,394.98,52,Footwear_Jacket_Yellow,Footwear_Jacket_S,Footwear_Jacket_Florida,90.0,Alta,Alta probabilidade
Dress,Footwear,Black,Nevada,XL,Female,Express,PayPal,1,1,Winter,Monthly,8,340.02,21,Footwear_Dress_Black,Footwear_Dress_XL,Footwear_Dress_Nevada,85.89,Alta,Alta probabilidade
Jacket,Clothing,Yellow,New York,M,Female,Express,PayPal,1,1,Spring,Weekly,1,66.36,50,Clothing_Jacket_Yellow,Clothing_Jacket_M,Clothing_Jacket_New York,54.66,Alta,Moderada
T-shirt,Accessories,Yellow,Florida,S,Female,Standard,Debit Card,0,1,Fall,Weekly,6,350.46,30,Accessories_T-shirt_Yellow,Accessories_T-shirt_S,Accessories_T-shirt_Florida,90.52,Alta,Alta probabilidade
T-shirt,Outerwear,Yellow,California,S,Male,Express,Credit Card,1,1,Winter,Monthly,4,226.36,53,Outerwear_T-shirt_Yellow,Outerwear_T-shirt_S,Outerwear_T-shirt_California,84.32,Alta,Alta probabilidade
Jacket,Clothing,Green,Florida,M,Female,Express,Debit Card,1,0,Spring,Weekly,2,473.04,60,Clothing_Jacket_Green,Clothing_Jacket_M,Clothing_Jacket_Florida,75.49,Alta,Alta probabilidade
Shoes,Footwear,Red,Texas,M,Male,Express,PayPal,1,0,Winter,Occasionally,8,79.39,36,Footwear_Shoes_Red,Footwear_Shoes_M,Footwear_Shoes_Texas,13.31,Não-Alta,Baixa
Jeans,Footwear,Blue,Texas,XL,Female,Express,Debit Card,0,0,Fall,Monthly,5,324.99,60,Footwear_Jeans_Blue,Footwear_Jeans_XL,Footwear_Jeans_Texas,80.84,Alta,Alta probabilidade
Shoes,Clothing,Blue,Nevada,S,Male,Express,Credit Card,0,1,Summer,Weekly,0,197.17,29,Clothing_Shoes_Blue,Clothing_Shoes_S,Clothing_Shoes_Nevada,59.63,Alta,Moderada
Shoes,Accessories,Black,Nevada,S,Female,Express,Debit Card,0,0,Fall,Weekly,4,478.84,28,Accessories_Shoes_Black,Accessories_Shoes_S,Accessories_Shoes_Nevada,87.13,Alta,Alta probabilidade
Shoes,Accessories,Yellow,New York,L,Female,Standard,PayPal,1,1,Fall,Monthly,6,171.69,23,Accessories_Shoes_Yellow,Accessories_Shoes_L,Accessories_Shoes_New York,71.03,Alta,Alta probabilidade
Dress,Footwear,Black,Florida,S,Male,Express,Debit Card,0,0,Winter,Monthly,3,481.47,29,Footwear_Dress_Black,Footwear_Dress_S,Footwear_Dress_Florida,91.43,Alta,Alta probabilidade
T-shirt,Footwear,Green,Texas,XL,Male,Express,PayPal,1,0,Winter,Monthly,7,451.73,44,Footwear_T-shirt_Green,Footwear_T-shirt_XL,Footwear_T-shirt_Texas,91.77,Alta,Alta probabilidade
Shoes,Accessories,Green,Nevada,L,Male,Express,PayPal,0,1,Fall,Monthly,9,142.49,58,Accessories_Shoes_Green,Accessories_Shoes_L,Accessories_Shoes_Nevada,45.08,Não-Alta,Baixa
T-shirt,Outerwear,White,Florida,L,Female,Express,Debit Card,1,0,Spring,Occasionally,4,403.74,42,Outerwear_T-shirt_White,Outerwear_T-shirt_L,Outerwear_T-shirt_Florida,84.11,Alta,Alta probabilidade
Jacket,Clothing,Green,Nevada,L,Female,Standard,PayPal,0,0,Spring,Monthly,8,497.85,59,Clothing_Jacket_Green,Clothing_Jacket_L,Clothing_Jacket_Nevada,82.97,Alta,Alta probabilidade
Jeans,Footwear,White,Nevada,M,Female,Standard,PayPal,1,0,Spring,Occasionally,8,133.8,20,Footwear_Jeans_White,Footwear_Jeans_M,Footwear_Jeans_Nevada,50.53,Alta,Moderada
Jacket,Footwear,Red,Texas,M,Female,Standard,Credit Card,0,1,Winter,Occasionally,8,224.02,20,Footwear_Jacket_Red,Footwear_Jacket_M,Footwear_Jacket_Texas,81.58,Alta,Alta probabilidade
Jacket,Accessories,Black,Texas,S,Male,Standard,Credit Card,0,0,Winter,Monthly,0,264.89,37,Accessories_Jacket_Black,Accessories_Jacket_S,Accessories_Jacket_Texas,89.57,Alta,Alta probabilidade
Dress,Clothing,Red,Nevada,L,Female,Express,Credit Card,0,1,Fall,Occasionally,1,154.52,45,Clothing_Dress_Red,Clothing_Dress_L,Clothing_Dress_Nevada,75.22,Alta,Alta probabilidade
Jeans,Accessories,Green,California,XL,Female,Standard,Credit Card,1,0,Summer,Monthly,2,17.48,40,Accessories_Jeans_Green,Accessories_Jeans_XL,Accessories_Jeans_California,44.69,Não-Alta,Baixa
Jacket,Clothing,Red,Nevada,M,Female,Standard,PayPal,0,0,Winter,Monthly,3,117.86,65,Clothing_Jacket_Red,Clothing_Jacket_M,Clothing_Jacket_Nevada,43.88,Não-Alta,Baixa
Jacket,Clothing,Red,Nevada,XL,Female,Standard,Debit Card,0,0,Fall,Weekly,9,148.15,20,Clothing_Jacket_Red,Clothing_Jacket_XL,Clothing_Jacket_Nevada,63.94,Alta,Moderada
Jeans,Clothing,Red,New York,XL,Female,Standard,PayPal,0,0,Fall,Monthly,8,227.36,59,Clothing_Jeans_Red,Clothing_Jeans_XL,Clothing_Jeans_New York,74.84,Alta,Alta probabilidade
Jeans,Footwear,Green,New York,M,Female,Express,PayPal,0,1,Summer,Weekly,9,93.84,41,Footwear_Jeans_Green,Footwear_Jeans_M,Footwear_Jeans_New York,37.9,Não-Alta,Baixa
Jacket,Outerwear,Yellow,New York,M,Female,Standard,PayPal,1,0,Spring,Occasionally,5,437.89,60,Outerwear_Jacket_Yellow,Outerwear_Jacket_M,Outerwear_Jacket_New York,86.39,Alta,Alta probabilidade
Jeans,Accessories,Red,California,M,Male,Express,Debit Card,0,1,Fall,Weekly,0,355.41,57,Accessories_Jeans_Red,Accessories_Jeans_M,Accessories_Jeans_California,71.04,Alta,Alta probabilidade
